room_type,neighbourhood,date,search_count
Private room,Centrum-Oost,2018-05-13,23
Private room,Noord-West,2018-05-13,3
Private room,De Baarsjes - Oud-West,2018-05-13,24
Private room,Geuzenveld - Slotermeer,2018-05-13,3
Entire home/apt,Bijlmer-Centrum,2018-05-13,12
Entire home/apt,Oud-Oost,2018-05-13,29
Private room,Zuid,2018-05-13,25
Entire home/apt,Oud-Noord,2018-05-13,11
Entire home/apt,De Pijp - Rivierenbuurt,2018-05-13,34
Private room,Bos en Lommer,2018-05-13,9
Entire home/apt,De Pijp - Rivierenbuurt,2018-05-12,29
Private room,Noord-Oost,2018-05-12,25
Entire home/apt,Westerpark,2018-05-12,27
Entire home/apt,IJburg - Zeeburgereiland,2018-05-12,14
Private room,Buitenveldert - Zuidas,2018-05-12,22
Private room,Oostelijk Havengebied - Indische Buurt,2018-05-12,16
Private room,De Pijp - Rivierenbuurt,2018-05-12,40
Entire home/apt,Geuzenveld - Slotermeer,2018-05-12,10
Entire home/apt,Oud-Oost,2018-05-12,14
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-05-12,8
Entire home/apt,Osdorp,2018-05-12,7
Private room,Slotervaart,2018-05-12,28
Private room,Oud-Oost,2018-05-12,22
Entire home/apt,Centrum-Oost,2018-05-12,23
Entire home/apt,Slotervaart,2018-05-12,5
Entire home/apt,Oud-Noord,2018-05-12,6
Entire home/apt,De Baarsjes - Oud-West,2018-05-12,73
Private room,Westerpark,2018-05-12,18
Private room,IJburg - Zeeburgereiland,2018-05-12,3
Private room,Bijlmer-Oost,2018-05-12,16
Private room,Centrum-West,2018-05-12,55
Private room,Geuzenveld - Slotermeer,2018-05-12,7
Entire home/apt,Noord-West,2018-05-12,4
Private room,Noord-West,2018-05-12,5
Private room,De Baarsjes - Oud-West,2018-05-12,40
Private room,Osdorp,2018-05-12,12
Private room,Bijlmer-Centrum,2018-05-12,20
Private room,De Aker - Nieuw Sloten,2018-05-12,19
Entire home/apt,Bos en Lommer,2018-05-12,7
Private room,Oud-Noord,2018-05-12,13
Private room,Watergraafsmeer,2018-05-12,16
Private room,Zuid,2018-05-12,12
Shared room,De Baarsjes - Oud-West,2018-05-12,9
Entire home/apt,Zuid,2018-05-12,12
Entire home/apt,Watergraafsmeer,2018-05-12,6
Entire home/apt,Centrum-West,2018-05-12,22
Private room,Gaasperdam - Driemond,2018-05-12,11
Private room,Centrum-Oost,2018-05-12,43
Private room,Bos en Lommer,2018-05-12,34
Private room,IJburg - Zeeburgereiland,2018-05-11,32
Entire home/apt,Oud-Oost,2018-05-11,39
Private room,Geuzenveld - Slotermeer,2018-05-11,16
Entire home/apt,Bijlmer-Centrum,2018-05-11,8
Private room,Noord-Oost,2018-05-11,18
Entire home/apt,Slotervaart,2018-05-11,5
Entire home/apt,Buitenveldert - Zuidas,2018-05-11,5
Private room,Noord-West,2018-05-11,15
Entire home/apt,Geuzenveld - Slotermeer,2018-05-11,12
Private room,De Baarsjes - Oud-West,2018-05-11,66
Entire home/apt,Osdorp,2018-05-11,2
Private room,Oud-Oost,2018-05-11,27
Entire home/apt,Centrum-Oost,2018-05-11,40
Private room,Bijlmer-Centrum,2018-05-11,15
Entire home/apt,Noord-Oost,2018-05-11,28
Private room,Slotervaart,2018-05-11,7
Private room,Watergraafsmeer,2018-05-11,27
Entire home/apt,Oud-Noord,2018-05-11,25
Private room,Oud-Noord,2018-05-11,19
Private room,Westerpark,2018-05-11,38
Entire home/apt,Gaasperdam - Driemond,2018-05-11,16
Private room,Zuid,2018-05-11,21
Private room,Bijlmer-Oost,2018-05-11,16
Entire home/apt,Watergraafsmeer,2018-05-11,19
Entire home/apt,De Pijp - Rivierenbuurt,2018-05-11,38
Private room,Centrum-Oost,2018-05-11,36
Entire home/apt,Westerpark,2018-05-11,14
Entire home/apt,Centrum-West,2018-05-11,42
Entire home/apt,Zuid,2018-05-11,21
Entire home/apt,De Aker - Nieuw Sloten,2018-05-11,46
Private room,Gaasperdam - Driemond,2018-05-11,33
Entire home/apt,De Baarsjes - Oud-West,2018-05-11,60
Shared room,Bos en Lommer,2018-05-11,16
Entire home/apt,Bos en Lommer,2018-05-11,14
Private room,De Aker - Nieuw Sloten,2018-05-11,9
Entire home/apt,IJburg - Zeeburgereiland,2018-05-11,9
Entire home/apt,Noord-West,2018-05-11,12
Private room,De Pijp - Rivierenbuurt,2018-05-11,34
Private room,Centrum-West,2018-05-11,66
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-05-11,36
Private room,Oostelijk Havengebied - Indische Buurt,2018-05-11,21
Private room,Osdorp,2018-05-11,4
Private room,Bos en Lommer,2018-05-11,13
Private room,Oostelijk Havengebied - Indische Buurt,2018-05-10,46
Private room,Westerpark,2018-05-10,35
Entire home/apt,De Pijp - Rivierenbuurt,2018-05-10,86
Entire home/apt,Gaasperdam - Driemond,2018-05-10,17
Private room,Noord-Oost,2018-05-10,9
Private room,De Aker - Nieuw Sloten,2018-05-10,12
Entire home/apt,Buitenveldert - Zuidas,2018-05-10,5
Private room,Centrum-Oost,2018-05-10,47
Entire home/apt,Noord-West,2018-05-10,13
Entire home/apt,Oud-Oost,2018-05-10,30
Entire home/apt,Bijlmer-Centrum,2018-05-10,16
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-05-10,52
Private room,Watergraafsmeer,2018-05-10,18
Shared room,Slotervaart,2018-05-10,10
Private room,Gaasperdam - Driemond,2018-05-10,8
Private room,Osdorp,2018-05-10,26
Shared room,Westerpark,2018-05-10,33
Private room,Geuzenveld - Slotermeer,2018-05-10,28
Private room,Slotervaart,2018-05-10,13
Entire home/apt,De Baarsjes - Oud-West,2018-05-10,82
Entire home/apt,Bijlmer-Oost,2018-05-10,2
Entire home/apt,Oud-Noord,2018-05-10,32
Private room,De Pijp - Rivierenbuurt,2018-05-10,40
Private room,Bijlmer-Oost,2018-05-10,11
Private room,Bijlmer-Centrum,2018-05-10,18
Private room,Zuid,2018-05-10,31
Entire home/apt,De Aker - Nieuw Sloten,2018-05-10,3
Private room,Noord-West,2018-05-10,24
Entire home/apt,Bos en Lommer,2018-05-10,30
Shared room,De Baarsjes - Oud-West,2018-05-10,7
Private room,Buitenveldert - Zuidas,2018-05-10,15
Private room,Bos en Lommer,2018-05-10,27
Entire home/apt,Zuid,2018-05-10,37
Private room,Centrum-West,2018-05-10,68
Private room,Oud-Oost,2018-05-10,13
Entire home/apt,IJburg - Zeeburgereiland,2018-05-10,8
Entire home/apt,Centrum-West,2018-05-10,73
Entire home/apt,Osdorp,2018-05-10,22
Shared room,Centrum-West,2018-05-10,17
Entire home/apt,Westerpark,2018-05-10,55
Shared room,Bos en Lommer,2018-05-10,12
Entire home/apt,Noord-Oost,2018-05-10,7
Shared room,Oud-Noord,2018-05-10,6
Private room,De Baarsjes - Oud-West,2018-05-10,42
Shared room,Bijlmer-Oost,2018-05-10,2
Entire home/apt,Slotervaart,2018-05-10,36
Entire home/apt,Geuzenveld - Slotermeer,2018-05-10,28
Shared room,Gaasperdam - Driemond,2018-05-10,1
Entire home/apt,Centrum-Oost,2018-05-10,49
Private room,IJburg - Zeeburgereiland,2018-05-10,17
Entire home/apt,Watergraafsmeer,2018-05-10,23
Private room,Oud-Noord,2018-05-10,34
Private room,Centrum-Oost,2018-05-09,37
Entire home/apt,Zuid,2018-05-09,9
Private room,Bos en Lommer,2018-05-09,20
Entire home/apt,De Pijp - Rivierenbuurt,2018-05-09,34
Entire home/apt,Westerpark,2018-05-09,12
Shared room,Centrum-Oost,2018-05-09,10
Entire home/apt,Buitenveldert - Zuidas,2018-05-09,2
Private room,Osdorp,2018-05-09,20
Entire home/apt,Bos en Lommer,2018-05-09,5
Private room,De Baarsjes - Oud-West,2018-05-09,28
Private room,De Aker - Nieuw Sloten,2018-05-09,29
Entire home/apt,De Baarsjes - Oud-West,2018-05-09,29
Private room,Noord-West,2018-05-09,19
Private room,Westerpark,2018-05-09,16
Private room,IJburg - Zeeburgereiland,2018-05-09,27
Private room,Slotervaart,2018-05-09,7
Entire home/apt,Bijlmer-Oost,2018-05-09,5
Private room,Oud-Noord,2018-05-09,6
Entire home/apt,Noord-Oost,2018-05-09,2
Private room,Bijlmer-Oost,2018-05-09,4
Entire home/apt,Centrum-West,2018-05-09,35
Private room,Centrum-West,2018-05-09,55
Entire home/apt,Noord-West,2018-05-09,22
Private room,De Pijp - Rivierenbuurt,2018-05-09,39
Shared room,Gaasperdam - Driemond,2018-05-09,9
Private room,Zuid,2018-05-09,7
Private room,Geuzenveld - Slotermeer,2018-05-09,1
Entire home/apt,Bijlmer-Centrum,2018-05-09,1
Entire home/apt,Watergraafsmeer,2018-05-09,7
Entire home/apt,Slotervaart,2018-05-09,7
Private room,Buitenveldert - Zuidas,2018-05-09,8
Shared room,Westerpark,2018-05-09,12
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-05-09,13
Entire home/apt,Centrum-Oost,2018-05-09,44
Private room,Oud-Oost,2018-05-09,15
Private room,Noord-Oost,2018-05-09,18
Entire home/apt,Oud-Noord,2018-05-09,8
Private room,Gaasperdam - Driemond,2018-05-09,6
Entire home/apt,IJburg - Zeeburgereiland,2018-05-09,7
Private room,Watergraafsmeer,2018-05-09,8
Entire home/apt,Oud-Oost,2018-05-09,11
Private room,Oostelijk Havengebied - Indische Buurt,2018-05-09,9
Entire home/apt,Watergraafsmeer,2018-05-08,2
Private room,Noord-Oost,2018-05-08,9
Entire home/apt,Geuzenveld - Slotermeer,2018-05-08,2
Entire home/apt,Slotervaart,2018-05-08,2
Shared room,De Baarsjes - Oud-West,2018-05-08,7
Private room,De Baarsjes - Oud-West,2018-05-08,30
Entire home/apt,Centrum-West,2018-05-08,27
Private room,Gaasperdam - Driemond,2018-05-08,2
Entire home/apt,Noord-Oost,2018-05-08,15
Entire home/apt,Noord-West,2018-05-08,13
Private room,Osdorp,2018-05-08,22
Private room,Buitenveldert - Zuidas,2018-05-08,19
Entire home/apt,IJburg - Zeeburgereiland,2018-05-08,2
Entire home/apt,Westerpark,2018-05-08,10
Entire home/apt,De Pijp - Rivierenbuurt,2018-05-08,11
Entire home/apt,Zuid,2018-05-08,20
Private room,Oud-Oost,2018-05-08,27
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-05-08,23
Entire home/apt,De Baarsjes - Oud-West,2018-05-08,52
Private room,De Aker - Nieuw Sloten,2018-05-08,6
Private room,Geuzenveld - Slotermeer,2018-05-08,6
Private room,Zuid,2018-05-08,41
Private room,Noord-West,2018-05-08,21
Entire home/apt,Osdorp,2018-05-08,1
Private room,Bijlmer-Centrum,2018-05-08,17
Private room,Watergraafsmeer,2018-05-08,39
Private room,Centrum-West,2018-05-08,78
Shared room,Slotervaart,2018-05-08,1
Entire home/apt,Bos en Lommer,2018-05-08,5
Private room,Oud-Noord,2018-05-08,8
Entire home/apt,Centrum-Oost,2018-05-08,37
Private room,Bos en Lommer,2018-05-08,16
Private room,IJburg - Zeeburgereiland,2018-05-08,6
Private room,Centrum-Oost,2018-05-08,47
Private room,Oostelijk Havengebied - Indische Buurt,2018-05-08,17
Private room,De Pijp - Rivierenbuurt,2018-05-08,57
Entire home/apt,Oud-Oost,2018-05-08,25
Entire home/apt,De Aker - Nieuw Sloten,2018-05-08,30
Entire home/apt,Oud-Noord,2018-05-08,5
Entire home/apt,Bijlmer-Centrum,2018-05-08,2
Shared room,Centrum-West,2018-05-08,5
Private room,Slotervaart,2018-05-08,7
Private room,Westerpark,2018-05-08,7
Private room,De Aker - Nieuw Sloten,2018-05-07,8
Entire home/apt,Zuid,2018-05-07,13
Shared room,Oud-Noord,2018-05-07,7
Entire home/apt,Noord-West,2018-05-07,2
Shared room,Slotervaart,2018-05-07,1
Entire home/apt,Gaasperdam - Driemond,2018-05-07,1
Private room,Osdorp,2018-05-07,15
Shared room,Bijlmer-Oost,2018-05-07,1
Private room,Bijlmer-Oost,2018-05-07,2
Private room,Oud-Oost,2018-05-07,12
Entire home/apt,Oud-Noord,2018-05-07,16
Entire home/apt,De Baarsjes - Oud-West,2018-05-07,16
Entire home/apt,Bijlmer-Oost,2018-05-07,10
Entire home/apt,Centrum-Oost,2018-05-07,14
Entire home/apt,Bos en Lommer,2018-05-07,18
Entire home/apt,Slotervaart,2018-05-07,16
Entire home/apt,Bijlmer-Centrum,2018-05-07,14
Private room,Bos en Lommer,2018-05-07,18
Entire home/apt,Oud-Oost,2018-05-07,15
Private room,Bijlmer-Centrum,2018-05-07,21
Private room,Noord-West,2018-05-07,19
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-05-07,4
Shared room,Westerpark,2018-05-07,6
Private room,Watergraafsmeer,2018-05-07,8
Private room,Centrum-West,2018-05-07,49
Private room,Oostelijk Havengebied - Indische Buurt,2018-05-07,36
Entire home/apt,Buitenveldert - Zuidas,2018-05-07,8
Private room,IJburg - Zeeburgereiland,2018-05-07,5
Private room,De Pijp - Rivierenbuurt,2018-05-07,28
Entire home/apt,Centrum-West,2018-05-07,36
Private room,Zuid,2018-05-07,23
Private room,Gaasperdam - Driemond,2018-05-07,5
Entire home/apt,De Pijp - Rivierenbuurt,2018-05-07,28
Private room,Geuzenveld - Slotermeer,2018-05-07,29
Private room,De Baarsjes - Oud-West,2018-05-07,37
Private room,Slotervaart,2018-05-07,8
Private room,Noord-Oost,2018-05-07,3
Private room,Centrum-Oost,2018-05-07,29
Private room,Westerpark,2018-05-07,13
Entire home/apt,Geuzenveld - Slotermeer,2018-05-07,1
Private room,Buitenveldert - Zuidas,2018-05-07,12
Entire home/apt,Westerpark,2018-05-07,7
Private room,Oud-Noord,2018-05-07,8
Entire home/apt,Noord-Oost,2018-05-07,2
Shared room,De Baarsjes - Oud-West,2018-05-07,1
Entire home/apt,Osdorp,2018-05-07,2
Private room,Centrum-Oost,2018-05-06,35
Entire home/apt,Westerpark,2018-05-06,5
Entire home/apt,De Pijp - Rivierenbuurt,2018-05-06,17
Private room,Bos en Lommer,2018-05-06,11
Entire home/apt,Zuid,2018-05-06,21
Private room,Bijlmer-Centrum,2018-05-06,17
Entire home/apt,IJburg - Zeeburgereiland,2018-05-06,7
Entire home/apt,Slotervaart,2018-05-06,11
Private room,Oud-Oost,2018-05-06,16
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-05-06,16
Private room,Centrum-West,2018-05-06,51
Private room,Watergraafsmeer,2018-05-06,2
Private room,De Pijp - Rivierenbuurt,2018-05-06,14
Private room,Buitenveldert - Zuidas,2018-05-06,1
Shared room,De Baarsjes - Oud-West,2018-05-06,11
Private room,Geuzenveld - Slotermeer,2018-05-06,4
Private room,Noord-Oost,2018-05-06,19
Private room,Zuid,2018-05-06,17
Entire home/apt,Oud-Noord,2018-05-06,16
Private room,Oostelijk Havengebied - Indische Buurt,2018-05-06,5
Private room,Oud-Noord,2018-05-06,8
Private room,Bijlmer-Oost,2018-05-06,26
Private room,Noord-West,2018-05-06,6
Entire home/apt,Centrum-Oost,2018-05-06,14
Entire home/apt,Noord-West,2018-05-06,6
Private room,De Aker - Nieuw Sloten,2018-05-06,6
Entire home/apt,Bos en Lommer,2018-05-06,10
Entire home/apt,De Baarsjes - Oud-West,2018-05-06,28
Entire home/apt,Watergraafsmeer,2018-05-06,17
Private room,Slotervaart,2018-05-06,8
Entire home/apt,Centrum-West,2018-05-06,35
Private room,IJburg - Zeeburgereiland,2018-05-06,14
Private room,Westerpark,2018-05-06,15
Entire home/apt,Oud-Oost,2018-05-06,5
Shared room,IJburg - Zeeburgereiland,2018-05-06,1
Shared room,Centrum-West,2018-05-06,3
Private room,De Baarsjes - Oud-West,2018-05-06,33
Private room,Gaasperdam - Driemond,2018-05-06,2
Private room,Centrum-West,2018-05-05,33
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-05-05,11
Private room,Oud-Noord,2018-05-05,23
Entire home/apt,Noord-West,2018-05-05,20
Private room,Osdorp,2018-05-05,16
Entire home/apt,Noord-Oost,2018-05-05,7
Private room,Slotervaart,2018-05-05,8
Private room,Watergraafsmeer,2018-05-05,21
Entire home/apt,Centrum-West,2018-05-05,25
Entire home/apt,De Aker - Nieuw Sloten,2018-05-05,3
Private room,De Pijp - Rivierenbuurt,2018-05-05,23
Private room,Zuid,2018-05-05,12
Entire home/apt,Geuzenveld - Slotermeer,2018-05-05,9
Private room,Buitenveldert - Zuidas,2018-05-05,2
Private room,Westerpark,2018-05-05,8
Private room,Geuzenveld - Slotermeer,2018-05-05,23
Private room,De Baarsjes - Oud-West,2018-05-05,29
Entire home/apt,Oud-Noord,2018-05-05,14
Private room,Oostelijk Havengebied - Indische Buurt,2018-05-05,7
Private room,Oud-Oost,2018-05-05,26
Private room,Bijlmer-Oost,2018-05-05,26
Entire home/apt,Gaasperdam - Driemond,2018-05-05,10
Entire home/apt,Buitenveldert - Zuidas,2018-05-05,20
Private room,Centrum-Oost,2018-05-05,13
Private room,Bijlmer-Centrum,2018-05-05,14
Entire home/apt,De Pijp - Rivierenbuurt,2018-05-05,11
Entire home/apt,Oud-Oost,2018-05-05,7
Entire home/apt,Zuid,2018-05-05,7
Entire home/apt,Westerpark,2018-05-05,15
Entire home/apt,Watergraafsmeer,2018-05-05,10
Entire home/apt,De Baarsjes - Oud-West,2018-05-05,11
Entire home/apt,Bos en Lommer,2018-05-05,11
Private room,Bos en Lommer,2018-05-05,14
Entire home/apt,Centrum-Oost,2018-05-05,15
Private room,Noord-West,2018-05-05,12
Private room,IJburg - Zeeburgereiland,2018-05-05,20
Private room,Gaasperdam - Driemond,2018-05-05,24
Entire home/apt,IJburg - Zeeburgereiland,2018-05-05,4
Entire home/apt,Bijlmer-Centrum,2018-05-05,3
Private room,De Aker - Nieuw Sloten,2018-05-05,11
Entire home/apt,Slotervaart,2018-05-05,1
Private room,Noord-Oost,2018-05-05,13
Private room,Noord-Oost,2018-05-04,12
Entire home/apt,Centrum-Oost,2018-05-04,47
Shared room,Bos en Lommer,2018-05-04,2
Private room,Watergraafsmeer,2018-05-04,9
Private room,Slotervaart,2018-05-04,8
Entire home/apt,Watergraafsmeer,2018-05-04,6
Shared room,IJburg - Zeeburgereiland,2018-05-04,1
Private room,Oostelijk Havengebied - Indische Buurt,2018-05-04,19
Entire home/apt,Bijlmer-Centrum,2018-05-04,1
Shared room,De Baarsjes - Oud-West,2018-05-04,2
Private room,Bijlmer-Centrum,2018-05-04,17
Entire home/apt,Osdorp,2018-05-04,6
Private room,Gaasperdam - Driemond,2018-05-04,10
Entire home/apt,Bos en Lommer,2018-05-04,10
Entire home/apt,Westerpark,2018-05-04,38
Entire home/apt,Zuid,2018-05-04,27
Entire home/apt,De Baarsjes - Oud-West,2018-05-04,48
Private room,Zuid,2018-05-04,10
Entire home/apt,Oud-Oost,2018-05-04,12
Private room,Noord-West,2018-05-04,7
Private room,De Baarsjes - Oud-West,2018-05-04,41
Private room,Westerpark,2018-05-04,11
Private room,De Aker - Nieuw Sloten,2018-05-04,18
Entire home/apt,Geuzenveld - Slotermeer,2018-05-04,2
Private room,Bijlmer-Oost,2018-05-04,8
Shared room,Westerpark,2018-05-04,3
Shared room,Slotervaart,2018-05-04,11
Private room,Oud-Noord,2018-05-04,15
Private room,Osdorp,2018-05-04,30
Entire home/apt,Noord-West,2018-05-04,20
Private room,Centrum-Oost,2018-05-04,44
Entire home/apt,Centrum-West,2018-05-04,53
Entire home/apt,Noord-Oost,2018-05-04,6
Private room,Centrum-West,2018-05-04,47
Entire home/apt,De Aker - Nieuw Sloten,2018-05-04,4
Entire home/apt,Oud-Noord,2018-05-04,9
Private room,Geuzenveld - Slotermeer,2018-05-04,14
Private room,Buitenveldert - Zuidas,2018-05-04,1
Private room,De Pijp - Rivierenbuurt,2018-05-04,26
Private room,IJburg - Zeeburgereiland,2018-05-04,13
Private room,Oud-Oost,2018-05-04,30
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-05-04,10
Entire home/apt,Slotervaart,2018-05-04,8
Entire home/apt,IJburg - Zeeburgereiland,2018-05-04,11
Private room,Bos en Lommer,2018-05-04,24
Entire home/apt,Buitenveldert - Zuidas,2018-05-04,2
Entire home/apt,De Pijp - Rivierenbuurt,2018-05-04,40
Entire home/apt,Gaasperdam - Driemond,2018-05-04,9
Shared room,Centrum-West,2018-05-03,8
Entire home/apt,Centrum-West,2018-05-03,55
Shared room,De Baarsjes - Oud-West,2018-05-03,19
Entire home/apt,Noord-West,2018-05-03,13
Entire home/apt,Oud-Oost,2018-05-03,46
Private room,De Aker - Nieuw Sloten,2018-05-03,12
Entire home/apt,Zuid,2018-05-03,34
Entire home/apt,Centrum-Oost,2018-05-03,57
Entire home/apt,Oud-Noord,2018-05-03,10
Private room,Centrum-West,2018-05-03,88
Private room,Geuzenveld - Slotermeer,2018-05-03,36
Private room,IJburg - Zeeburgereiland,2018-05-03,12
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-05-03,18
Entire home/apt,De Baarsjes - Oud-West,2018-05-03,72
Entire home/apt,Slotervaart,2018-05-03,31
Entire home/apt,Geuzenveld - Slotermeer,2018-05-03,17
Entire home/apt,IJburg - Zeeburgereiland,2018-05-03,19
Entire home/apt,Osdorp,2018-05-03,19
Entire home/apt,Gaasperdam - Driemond,2018-05-03,1
Entire home/apt,Westerpark,2018-05-03,41
Private room,Bos en Lommer,2018-05-03,38
Private room,Centrum-Oost,2018-05-03,36
Private room,Noord-West,2018-05-03,23
Private room,De Pijp - Rivierenbuurt,2018-05-03,38
Entire home/apt,Bos en Lommer,2018-05-03,33
Entire home/apt,De Pijp - Rivierenbuurt,2018-05-03,70
Private room,Oud-Noord,2018-05-03,16
Private room,Westerpark,2018-05-03,21
Private room,Osdorp,2018-05-03,15
Private room,Bijlmer-Oost,2018-05-03,23
Entire home/apt,Buitenveldert - Zuidas,2018-05-03,11
Entire home/apt,Noord-Oost,2018-05-03,15
Private room,Oud-Oost,2018-05-03,30
Private room,De Baarsjes - Oud-West,2018-05-03,49
Private room,Buitenveldert - Zuidas,2018-05-03,19
Shared room,Bijlmer-Oost,2018-05-03,10
Private room,Bijlmer-Centrum,2018-05-03,28
Private room,Watergraafsmeer,2018-05-03,14
Shared room,Oud-Noord,2018-05-03,17
Shared room,Osdorp,2018-05-03,1
Private room,Noord-Oost,2018-05-03,10
Entire home/apt,Watergraafsmeer,2018-05-03,13
Entire home/apt,Bijlmer-Centrum,2018-05-03,1
Shared room,Bos en Lommer,2018-05-03,6
Private room,Zuid,2018-05-03,32
Private room,Gaasperdam - Driemond,2018-05-03,15
Private room,Oostelijk Havengebied - Indische Buurt,2018-05-03,24
Entire home/apt,De Aker - Nieuw Sloten,2018-05-03,10
Private room,Slotervaart,2018-05-03,24
Private room,IJburg - Zeeburgereiland,2018-05-02,13
Private room,De Baarsjes - Oud-West,2018-05-02,32
Entire home/apt,Buitenveldert - Zuidas,2018-05-02,5
Private room,Geuzenveld - Slotermeer,2018-05-02,23
Private room,Westerpark,2018-05-02,14
Entire home/apt,Bos en Lommer,2018-05-02,25
Private room,Slotervaart,2018-05-02,6
Private room,Oud-Noord,2018-05-02,14
Entire home/apt,Oud-Oost,2018-05-02,16
Private room,De Pijp - Rivierenbuurt,2018-05-02,24
Private room,Centrum-Oost,2018-05-02,45
Entire home/apt,Bijlmer-Centrum,2018-05-02,14
Private room,Oostelijk Havengebied - Indische Buurt,2018-05-02,7
Entire home/apt,Centrum-Oost,2018-05-02,24
Entire home/apt,Oud-Noord,2018-05-02,11
Private room,Bos en Lommer,2018-05-02,9
Private room,Gaasperdam - Driemond,2018-05-02,13
Entire home/apt,Osdorp,2018-05-02,14
Entire home/apt,Centrum-West,2018-05-02,27
Shared room,Slotervaart,2018-05-02,19
Private room,Centrum-West,2018-05-02,48
Private room,Buitenveldert - Zuidas,2018-05-02,18
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-05-02,27
Entire home/apt,Westerpark,2018-05-02,25
Entire home/apt,De Baarsjes - Oud-West,2018-05-02,52
Entire home/apt,Zuid,2018-05-02,24
Private room,De Aker - Nieuw Sloten,2018-05-02,19
Private room,Noord-West,2018-05-02,10
Entire home/apt,De Pijp - Rivierenbuurt,2018-05-02,36
Private room,Zuid,2018-05-02,27
Shared room,De Baarsjes - Oud-West,2018-05-02,15
Private room,Noord-Oost,2018-05-02,16
Private room,Osdorp,2018-05-02,3
Private room,Bijlmer-Oost,2018-05-02,4
Private room,Watergraafsmeer,2018-05-02,8
Entire home/apt,Watergraafsmeer,2018-05-02,7
Private room,Bijlmer-Centrum,2018-05-02,11
Entire home/apt,Noord-West,2018-05-02,12
Private room,Oud-Oost,2018-05-02,27
Shared room,De Baarsjes - Oud-West,2018-05-01,24
Entire home/apt,Bijlmer-Centrum,2018-05-01,23
Private room,De Pijp - Rivierenbuurt,2018-05-01,14
Entire home/apt,Oud-Noord,2018-05-01,24
Shared room,Oud-Noord,2018-05-01,14
Private room,Zuid,2018-05-01,29
Private room,Buitenveldert - Zuidas,2018-05-01,3
Entire home/apt,De Baarsjes - Oud-West,2018-05-01,23
Entire home/apt,Slotervaart,2018-05-01,2
Entire home/apt,Oostelijk Havengebied - Indische Buurt,2018-05-01,9
Private room,Bos en Lommer,2018-05-01,7
Entire home/apt,Noord-West,2018-05-01,3
Entire home/apt,Zuid,2018-05-01,29
Entire home/apt,Bos en Lommer,2018-05-01,7
Entire home/apt,De Pijp - Rivierenbuurt,2018-05-01,19
Shared room,Centrum-West,2018-05-01,14
Private room,Westerpark,2018-05-01,14
Private room,Geuzenveld - Slotermeer,2018-05-01,21
Shared room,Slotervaart,2018-05-01,3
Entire home/apt,Buitenveldert - Zuidas,2018-05-01,22
Private room,Gaasperdam - Driemond,2018-05-01,15
Private room,IJburg - Zeeburgereiland,2018-05-01,16
Private room,De Baarsjes - Oud-West,2018-05-01,32
Private room,Bijlmer-Oost,2018-05-01,5
Private room,Noord-Oost,2018-05-01,25
Entire home/apt,Oud-Oost,2018-05-01,18
Entire home/apt,IJburg - Zeeburgereiland,2018-05-01,6
Private room,Noord-West,2018-05-01,9
Private room,De Aker - Nieuw Sloten,2018-05-01,5
Private room,Centrum-West,2018-05-01,40
Entire home/apt,Centrum-Oost,2018-05-01,22
Entire home/apt,Centrum-West,2018-05-01,27
Private room,Osdorp,2018-05-01,19
Private room,Bijlmer-Centrum,2018-05-01,8
Entire home/apt,Westerpark,2018-05-01,30
Private room,Oud-Oost,2018-05-01,21
Entire home/apt,De Aker - Nieuw Sloten,2018-05-01,24
Private room,Slotervaart,2018-05-01,21
Private room,Centrum-Oost,2018-05-01,36
Entire home/apt,Geuzenveld - Slotermeer,2018-05-01,5
Private room,Oud-Noord,2018-05-01,22
Private room,Watergraafsmeer,2018-05-01,4
Entire home/apt,Gaasperdam - Driemond,2018-05-01,1
Entire home/apt,Osdorp,2018-05-01,8
Private room,Oostelijk Havengebied - Indische Buurt,2018-05-01,21
Entire home/apt,Watergraafsmeer,2018-05-01,1
Entire home/apt,Westerpark,2018-04-30,10
Entire home/apt,Gaasperdam - Driemond,2018-04-30,6
Entire home/apt,Bijlmer-Centrum,2018-04-30,1
Entire home/apt,Bos en Lommer,2018-04-30,6
Entire home/apt,Noord-Oost,2018-04-30,21
Private room,Bijlmer-Centrum,2018-04-30,16
Entire home/apt,Slotervaart,2018-04-30,18
Shared room,IJburg - Zeeburgereiland,2018-04-30,11
Entire home/apt,Zuid,2018-04-30,18
Private room,Gaasperdam - Driemond,2018-04-30,20
Private room,De Aker - Nieuw Sloten,2018-04-30,5
Private room,Watergraafsmeer,2018-04-30,5
Shared room,De Baarsjes - Oud-West,2018-04-30,19
Private room,Bos en Lommer,2018-04-30,14
Entire home/apt,De Pijp - Rivierenbuurt,2018-04-30,33
Private room,Centrum-West,2018-04-30,38
